DATE,CPI
1985/10/1,0.369344414
1985/11/1,0.27598896
1985/12/1,0.275229358
1986/1/1,0.274473925
1986/2/1,-0.273722628
1986/3/1,-0.457456542
1986/4/1,-0.183823529
1986/5/1,0.276243094
1986/6/1,0.550964187
1986/7/1,0
1986/8/1,0.182648402
1986/9/1,0.455788514
1986/10/1,0.090744102
1986/11/1,0.090661831
1986/12/1,0.09057971
1987/1/1,0.633484163
1987/2/1,0.35971223
1987/3/1,0.448028674
1987/4/1,0.535236396
1987/5/1,0.354924579
1987/6/1,0.353669319
1987/7/1,0.264317181
1987/8/1,0.527240773
1987/9/1,0.524475524
1987/10/1,0.260869565
1987/11/1,0.086730269
1987/12/1,0
1988/1/1,0.259965338
1988/2/1,0.259291271
1988/3/1,0.431034483
1988/4/1,0.515021459
1988/5/1,0.341588386
1988/6/1,0.425531915
1988/7/1,0.423728814
1988/8/1,0.421940928
1988/9/1,0.672268908
1988/10/1,0.333889816
1988/11/1,0.083194676
1988/12/1,0.166251039
1989/1/1,0.497925311
1989/2/1,0.412881916
1989/3/1,0.575657895
1989/4/1,0.654129191
1989/5/1,0.568643379
1989/6/1,0.242326333
1989/7/1,0.241740532
1989/8/1,0.160771704
1989/9/1,0.321027287
1989/10/1,0.48
1989/11/1,0.238853503
1989/12/1,0.158856235
1990/1/1,1.030927835
1990/2/1,0.470957614
1990/3/1,0.546875
1990/4/1,0.155400155
1990/5/1,0.232738557
1990/6/1,0.541795666
1990/7/1,0.38491147
1990/8/1,0.920245399
1990/9/1,0.835866261
1990/10/1,0.602863602
1990/11/1,0.224719101
1990/12/1,0
1991/1/1,0.597907324
1991/2/1,0.14858841
1991/3/1,0.148367953
1991/4/1,0.148148148
1991/5/1,0.295857988
1991/6/1,0.294985251
1991/7/1,0.147058824
1991/8/1,0.293685756
1991/9/1,0.439238653
1991/10/1,0.145772595
1991/11/1,0.291120815
1991/12/1,0.07256894
1992/1/1,0.145032632
1992/2/1,0.362056481
1992/3/1,0.505050505
1992/4/1,0.143575018
1992/5/1,0.143369176
1992/6/1,0.357909807
1992/7/1,0.213980029
1992/8/1,0.284697509
1992/9/1,0.283889283
1992/10/1,0.353857042
1992/11/1,0.141043724
