DATE,INDPRO
1956/7/1,20.4025
1956/8/1,21.2358
1956/9/1,21.7197
1956/10/1,21.9078
1956/11/1,21.7197
1956/12/1,22.0422
1957/1/1,21.9616
1957/2/1,22.1766
1957/3/1,22.1498
1957/4/1,21.8541
1957/5/1,21.7734
1957/6/1,21.8272
1957/7/1,21.9616
1957/8/1,21.9616
1957/9/1,21.7734
1957/10/1,21.4508
1957/11/1,20.9401
1957/12/1,20.5369
1958/1/1,20.1606
1958/2/1,19.7305
1958/3/1,19.4885
1958/4/1,19.166
1958/5/1,19.3541
1958/6/1,19.8649
1958/7/1,20.1606
1958/8/1,20.5638
1958/9/1,20.752
1958/10/1,20.9939
1958/11/1,21.6121
1958/12/1,21.639
1959/1/1,21.9616
1959/2/1,22.3917
1959/3/1,22.7142
1959/4/1,23.1981
1959/5/1,23.5476
1959/6/1,23.5744
1959/7/1,23.0099
1959/8/1,22.2304
1959/9/1,22.2035
1959/10/1,22.0422
1959/11/1,22.1766
1959/12/1,23.5475
1960/1/1,24.1658
1960/2/1,23.9508
1960/3/1,23.7357
1960/4/1,23.5476
1960/5/1,23.5207
1960/6/1,23.225
1960/7/1,23.1443
1960/8/1,23.1175
1960/9/1,22.8755
1960/10/1,22.8487
1960/11/1,22.5261
1960/12/1,22.096
1961/1/1,22.1229
1961/2/1,22.096
1961/3/1,22.2304
1961/4/1,22.6874
1961/5/1,23.0368
1961/6/1,23.3594
1961/7/1,23.6282
1961/8/1,23.8432
1961/9/1,23.8164
1961/10/1,24.2733
1961/11/1,24.6497
1961/12/1,24.8647
1962/1/1,24.6496
1962/2/1,25.0529
1962/3/1,25.1873
1962/4/1,25.241
1962/5/1,25.2141
1962/6/1,25.1604
1962/7/1,25.4023
1962/8/1,25.4292
1962/9/1,25.5905
1962/10/1,25.6174
1962/11/1,25.7249
1962/12/1,25.7249
1963/1/1,25.913
1963/2/1,26.2088
1963/3/1,26.37
1963/4/1,26.612
1963/5/1,26.9345
1963/6/1,27.0152
1963/7/1,26.9076
1963/8/1,26.9614
1963/9/1,27.2302
1963/10/1,27.4184
1963/11/1,27.5528
1963/12/1,27.499
1964/1/1,27.7409
1964/2/1,27.9291
1964/3/1,27.9291
1964/4/1,28.3861
1964/5/1,28.5474
1964/6/1,28.628
1964/7/1,28.8162
1964/8/1,29.0043
1964/9/1,29.1119
1964/10/1,28.7087
1964/11/1,29.5957
1964/12/1,29.9452
1965/1/1,30.2677
1965/2/1,30.4559
1965/3/1,30.8591
1965/4/1,30.9935
1965/5/1,31.2354
1965/6/1,31.4774
1965/7/1,31.7731
1965/8/1,31.9075
1965/9/1,31.9881
1965/10/1,32.3107
1965/11/1,32.4451
1965/12/1,32.8483
1966/1/1,33.1709
1966/2/1,33.3859
1966/3/1,33.8429
1966/4/1,33.8967
1966/5/1,34.2192
1966/6/1,34.3805
1966/7/1,34.5687
1966/8/1,34.5955
1966/9/1,34.9181
1966/10/1,35.16
1966/11/1,34.9181
1966/12/1,34.9987
1967/1/1,35.1638
1967/2/1,34.765
1967/3/1,34.5691
1967/4/1,34.8951
1967/5/1,34.5907
1967/6/1,34.5863
1967/7/1,34.5076
1967/8/1,35.1687
1967/9/1,35.1116
1967/10/1,35.3976
1967/11/1,35.9038
1967/12/1,36.2905
1968/1/1,36.2514
1968/2/1,36.3813
1968/3/1,36.4949
1968/4/1,36.5477
1968/5/1,36.9577
1968/6/1,37.0934
1968/7/1,37.0366
1968/8/1,37.1399
1968/9/1,37.2806
1968/10/1,37.3546
1968/11/1,37.8378
1968/12/1,37.9573
1969/1/1,38.1869
1969/2/1,38.4313
1969/3/1,38.7326
1969/4/1,38.5901
1969/5/1,38.4443
1969/6/1,38.8198
1969/7/1,39.0248
1969/8/1,39.1145
1969/9/1,39.1057
1969/10/1,39.1171
1969/11/1,38.7484
1969/12/1,38.6444
1970/1/1,37.9288
1970/2/1,37.9038
1970/3/1,37.8546
1970/4/1,37.7573
1970/5/1,37.7133
1970/6/1,37.5913
1970/7/1,37.6836
1970/8/1,37.6164
1970/9/1,37.3571
1970/10/1,36.6098
1970/11/1,36.3881
1970/12/1,37.2237
1971/1/1,37.5101
1971/2/1,37.4386
1971/3/1,37.398
1971/4/1,37.608
1971/5/1,37.7989
1971/6/1,37.9574
1971/7/1,37.8472
1971/8/1,37.6276
1971/9/1,38.2391
1971/10/1,38.5253
1971/11/1,38.6888
1971/12/1,39.1355
1972/1/1,40.0728
1972/2/1,40.4789
1972/3/1,40.761
1972/4/1,41.1654
1972/5/1,41.1693
1972/6/1,41.2778
1972/7/1,41.2389
1972/8/1,41.805
1972/9/1,42.1288
1972/10/1,42.6703
1972/11/1,43.1755
1972/12/1,43.6617
1973/1/1,43.9783
1973/2/1,44.6103
1973/3/1,44.6294
1973/4/1,44.568
1973/5/1,44.8608
1973/6/1,44.9186
1973/7/1,45.085
1973/8/1,45.0221
1973/9/1,45.3801
1973/10/1,45.7462
1973/11/1,45.9548
1973/12/1,45.8252
1974/1/1,45.5207
1974/2/1,45.3825
1974/3/1,45.3798
1974/4/1,45.247
1974/5/1,45.6083
1974/6/1,45.5216
1974/7/1,45.6136
1974/8/1,45.1303
1974/9/1,45.1377
1974/10/1,44.995
