DATE,,,Unexp R
2012/1/1,,,-0.01319075
2012/2/1,,,-0.015155242
2012/3/1,,,-0.011414881
2012/4/1,,,-0.018902879
2012/5/1,,,-0.010314462
2012/6/1,,,-0.006802035
2012/7/1,,,-0.01637591
2012/8/1,,,-0.012358356
2012/9/1,,,-0.023129976
2012/10/1,,,-0.014450407
2012/11/1,,,-0.014250118
2012/12/1,,,-0.026094473
2013/1/1,,,-0.006770019
2013/2/1,,,-0.011307744
2013/3/1,,,0.000869743
2013/4/1,,,-0.022694089
2013/5/1,,,-0.011873738
2013/6/1,,,-0.013424374
2013/7/1,,,-0.008294113
2013/8/1,,,-0.024055126
2013/9/1,,,-0.015521423
2013/10/1,,,-0.018921481
2013/11/1,,,-0.014804615
2013/12/1,,,-0.02333098
2014/1/1,,,-0.013178732
2014/2/1,,,-0.016724678
2014/3/1,,,-0.010361657
2014/4/1,,,-0.016563103
2014/5/1,,,-0.018299687
2014/6/1,,,-0.01411405
2014/7/1,,,-0.021016484
2014/8/1,,,-0.01362644
2014/9/1,,,-0.024348817
2014/10/1,,,-0.012113568
2014/11/1,,,-0.008242863
2014/12/1,,,-0.034699167
2015/1/1,,,0.014958916
2015/2/1,,,-0.005079428
2015/3/1,,,-0.010154741
2015/4/1,,,-0.025559453
2015/5/1,,,-0.017307598
2015/6/1,,,-0.018799919
2015/7/1,,,-0.018367158
2015/8/1,,,-0.018165237
2015/9/1,,,-0.021455824
2015/10/1,,,-0.009939065
2015/11/1,,,-0.011954136
2015/12/1,,,-0.012870829
2016/1/1,,,-0.015994656
2016/2/1,,,-0.008007397
2016/3/1,,,-0.006999309
2016/4/1,,,-0.021739518
2016/5/1,,,-0.016559729
2016/6/1,,,-0.010188602
2016/7/1,,,-0.022232186
2016/8/1,,,-0.015385227
2016/9/1,,,-0.023555786
2016/10/1,,,-0.014683627
2016/11/1,,,-0.019422102
2016/12/1,,,-0.022385301
2017/1/1,,,-0.013582173
2017/2/1,,,-0.018849215
2017/3/1,,,-0.008966443
2017/4/1,,,-0.019065991
2017/5/1,,,-0.015504383
2017/6/1,,,-0.004681133
2017/7/1,,,-0.020942464
2017/8/1,,,-0.01630504
2017/9/1,,,-0.022924711
2017/10/1,,,-0.018576722
2017/11/1,,,-0.020823247
2017/12/1,,,-0.038820614
2018/1/1,,,-0.007046976
2018/2/1,,,-0.01943374
2018/3/1,,,0.000536006
2018/4/1,,,-0.022792484
2018/5/1,,,-0.021978242
2018/6/1,,,-0.016588353
2018/7/1,,,-0.024891494
2018/8/1,,,-0.021054997
2018/9/1,,,-0.026958954
2018/10/1,,,-0.018906589
2018/11/1,,,-0.019109885
2018/12/1,,,-0.018026677
2019/1/1,,,-0.018775063
2019/2/1,,,-0.018415587
2019/3/1,,,0.033320093
2019/4/1,,,-0.040367874
2019/5/1,,,-0.033483957
2019/6/1,,,-0.022476141
2019/7/1,,,-0.02434424
2019/8/1,,,-0.02172822
2019/9/1,,,-0.020866912
2019/10/1,,,-0.019742239
2019/11/1,,,-0.019068663
2019/12/1,,,-0.01759292
2020/1/1,,,-0.020056075
2020/2/1,,,-0.017325454
2020/3/1,,,0.022593478
2020/4/1,,,-0.011349553
2020/5/1,,,-0.00308138
2020/6/1,,,-0.012364898
2020/7/1,,,-0.026818257
2020/8/1,,,-0.020606319
2020/9/1,,,-0.017268048
2020/10/1,,,-0.014499385
2020/11/1,,,-0.015244216
2020/12/1,,,-0.01891898
2021/1/1,,,-0.013918108
2021/2/1,,,-0.018425571
2021/3/1,,,-0.011126333
2021/4/1,,,-0.015174662
2021/5/1,,,-0.019038957
2021/6/1,,,-0.020533741
2021/7/1,,,-0.021122303
2021/8/1,,,-0.032189698
2021/9/1,,,-0.026496913
2021/10/1,,,-0.009595556
2021/11/1,,,-0.025798227
2021/12/1,,,-0.027441005
2022/1/1,,,-0.018472709
2022/2/1,,,-0.026079257
2022/3/1,,,-0.029071986
2022/4/1,,,-0.032537694
2022/5/1,,,-0.032520521
2022/6/1,,,-0.042263007
2022/7/1,,,-0.01495944
2022/8/1,,,-0.033302142
2022/9/1,,,-0.044458868
2022/10/1,,,-0.01454708
2022/11/1,,,-0.026602351
2022/12/1,,,-0.026688302
2023/1/1,,,-0.023638466
2023/2/1,,,-0.026374578
2023/3/1,,,-0.014843525
2023/4/1,,,-0.034791872
2023/5/1,,,-0.027840354
2023/6/1,,,0.041735971
2023/7/1,,,-0.043765332
2023/8/1,,,-0.033989068
2023/9/1,,,-0.037031247
2023/10/1,,,-0.030455406
2023/11/1,,,-0.03257837
2023/12/1,,,-0.040252494
2024/1/1,,,-0.022614419
2024/2/1,,,-0.025903771
2024/3/1,,,-0.018466619
2024/4/1,,,-0.030964049
2024/5/1,,,-0.028917708
2024/6/1,,,-0.026294675
2024/7/1,,,-0.025926969
2024/8/1,,,-0.025929875
2024/9/1,,,-0.025015455
2024/10/1,,,-0.02524792
2024/11/1,,,-0.024723712
