DATE,1-year_r
2018/7/1,-0.1297353
2018/8/1,-0.11489998
2018/9/1,-0.68478285
2018/10/1,-0.1819306
2018/11/1,0.11522289
2018/12/1,0.48206827
2019/1/1,0.59518209
2019/2/1,0.56831863
2019/3/1,5.6999287
2019/4/1,3.11685814
2019/5/1,1.86934498
2019/6/1,1.84771863
2019/7/1,1.0521675
2019/8/1,0.64538988
2019/9/1,0.28409933
2019/10/1,-0.04052344
2019/11/1,-0.22348679
2019/12/1,-0.28927221
2020/1/1,-0.59602385
2020/2/1,-0.54217106
2020/3/1,3.35421645
2020/4/1,3.23944367
2020/5/1,2.87932085
2020/6/1,1.41774102
2020/7/1,-0.74405804
2020/8/1,-1.24438508
2020/9/1,-1.31528359
2020/10/1,-1.20327548
2020/11/1,-1.34746957
2020/12/1,-1.83847259
2021/1/1,-1.61108806
2021/2/1,-2.03085035
2021/3/1,-1.50202356
2021/4/1,-1.52838991
2021/5/1,-1.70438715
2021/6/1,-1.92139542
2021/7/1,-2.01792543
2021/8/1,-3.20561303
2021/9/1,-3.47182721
2021/10/1,-1.84043425
2021/11/1,-2.60001778
2021/12/1,-2.92875407
2022/1/1,-2.23245881
2022/2/1,-2.64867235
2022/3/1,-2.9980438
2022/4/1,-3.28578549
2022/5/1,-3.25642212
2022/6/1,-3.96642481
2022/7/1,-1.40330475
2022/8/1,-1.47068045
2022/9/1,-2.58910241
2022/10/1,0.02713679
2022/11/1,0.2496431
2022/12/1,0.8279474
2023/1/1,1.35596652
2023/2/1,1.43385141
2023/3/1,2.60005624
2023/4/1,1.24802557
2023/5/1,1.14790584
2023/6/1,8.00560278
2023/7/1,5.10470969
2023/8/1,4.30642606
2023/9/1,3.32253749
2023/10/1,3.1828759
2023/11/1,2.78276472
2023/12/1,1.62638336
2024/1/1,2.50688884
2024/2/1,2.39577672
2024/3/1,3.03562019
2024/4/1,2.08463671
2024/5/1,1.953609
2024/6/1,2.31716057
2024/7/1,2.51346602
2024/8/1,2.54035805
2024/9/1,2.44549567
2024/10/1,2.21150878
2024/11/1,2.04516054
